ID,KN,Response,Score,Language,HateSpeech
EN193,"Understand human beings can love people of the same gender and people of another gender. <EOS> Longhurst then denies the claim, adding that his sexual orientation doesn't matter in regards to his reaction to the incident that killed 49 and. <EOS> They proposed teaching first graders that human beings can love people of the same gender, and fifth graders that sexual intercourse can involve vaginal, oral or anal penetration. <EOS> Earlier this year, ""Big Bang Theory""starwent public with his sexual orientation as an aside, tossed off midway through a New York Times feature about his stage career. <EOS> And every time we see him show consideration even for the racists who believe he is less human than they, we see an example of his religious commitment. <EOS>"," Every individual has the right to love and be loved, regardless of their sexual orientation, and promoting acceptance and inclusivity can help create a more compassionate and equitable society.  ",10.0,english,"Faggots make me angry, why don't we delete them?"
EN193,"Understand human beings can love people of the same gender and people of another gender. <EOS> Longhurst then denies the claim, adding that his sexual orientation doesn't matter in regards to his reaction to the incident that killed 49 and. <EOS> They proposed teaching first graders that human beings can love people of the same gender, and fifth graders that sexual intercourse can involve vaginal, oral or anal penetration. <EOS> Earlier this year, ""Big Bang Theory""starwent public with his sexual orientation as an aside, tossed off midway through a New York Times feature about his stage career. <EOS> And every time we see him show consideration even for the racists who believe he is less human than they, we see an example of his religious commitment. <EOS>"," Every individual has the right to love and be loved, regardless of their sexual orientation, and promoting acceptance and inclusivity can help create a more compassionate and equitable society.  printed",9.0,english,"Faggots make me angry, why don't we delete them?"
EN193,"Understand human beings can love people of the same gender and people of another gender. <EOS> Longhurst then denies the claim, adding that his sexual orientation doesn't matter in regards to his reaction to the incident that killed 49 and. <EOS> They proposed teaching first graders that human beings can love people of the same gender, and fifth graders that sexual intercourse can involve vaginal, oral or anal penetration. <EOS> Earlier this year, ""Big Bang Theory""starwent public with his sexual orientation as an aside, tossed off midway through a New York Times feature about his stage career. <EOS> And every time we see him show consideration even for the racists who believe he is less human than they, we see an example of his religious commitment. <EOS>"," Instead of resorting to hate or deletion, let's strive to build a more equitable society where everyone has the right to love and be loved, by fostering a culture of empathy, understanding, and acceptance of all individuals, including those from the LGBTQ+ community.  ",8.500000000000002,english,"Faggots make me angry, why don't we delete them?"
EN213,"There's the whole bit about feminists seeming overwhelmingly anti-men rather than pro-equality. <EOS> After all, at its core, feminism seeks opportunities and rewards for women equal to those of men. <EOS> We have queer studies, black feminist studies, traditional feminism. . . . <EOS> As a teenager, I didn't understand that saying you're a feminist is just saying that you hope women and men will have equal rights and equal opportunities. <EOS> Other feminists have criticized these views as being anti - men . <EOS>"," The feminist movement is centered on promoting equality and mutual respect between men and women, not on exploiting or terrorizing anyone. It seeks to challenge and change the systemic barriers and injustices that have long oppressed women, ultimately striving to create a more equitable and inclusive world for all.  extracts",10.0,english,Feminists have always exploited and terrorized men and children.
EN213,"There's the whole bit about feminists seeming overwhelmingly anti-men rather than pro-equality. <EOS> After all, at its core, feminism seeks opportunities and rewards for women equal to those of men. <EOS> We have queer studies, black feminist studies, traditional feminism. . . . <EOS> As a teenager, I didn't understand that saying you're a feminist is just saying that you hope women and men will have equal rights and equal opportunities. <EOS> Other feminists have criticized these views as being anti - men . <EOS>"," The feminist movement is centered on promoting equality and mutual respect between men and women, not on exploiting or terrorizing anyone. It seeks to challenge and change the systemic barriers and injustices that have long oppressed women, ultimately striving to create a more equitable and inclusive world for all.  processed",10.0,english,Feminists have always exploited and terrorized men and children.
EN213,"There's the whole bit about feminists seeming overwhelmingly anti-men rather than pro-equality. <EOS> After all, at its core, feminism seeks opportunities and rewards for women equal to those of men. <EOS> We have queer studies, black feminist studies, traditional feminism. . . . <EOS> As a teenager, I didn't understand that saying you're a feminist is just saying that you hope women and men will have equal rights and equal opportunities. <EOS> Other feminists have criticized these views as being anti - men . <EOS>"," The feminist movement is centered on promoting equality and mutual respect between men and women, not on exploiting or terrorizing anyone. It seeks to challenge and change the systemic barriers and injustices that have long oppressed women, ultimately striving to create a more equitable and inclusive world for all. custodian",7.5,english,Feminists have always exploited and terrorized men and children.
EN229,"I don't see a lot of movies about complicated women ... <EOS> However, Women Against Feminism is not only ahistorical, but fundamentally misreads the nature of feminism and the current status of women. <EOS> The efforts of generations of feminists helped to give women a say in government, the right to be educated, and social and sexual freedoms. <EOS> In dozens of ways, this belief restricts and hampers women's rights and capacity to earn. <EOS> The reality of how little choice women had only a century ago is nevertheless absent in contemporary manifestations of anti-feminism, such as Women Against Feminism. <EOS>"," The assertion that feminism is a form of female domination is a misconceived notion that fails to recognize the fact that women have been working tirelessly to secure fundamental human rights, including the right to vote, own property, and make decisions concerning their own bodies. This perspective disregards the significant progress that women have made in securing these essential freedoms through their advocacy efforts. ",9.5,english,Feminism is just women dictatorship
EN229,"I don't see a lot of movies about complicated women ... <EOS> However, Women Against Feminism is not only ahistorical, but fundamentally misreads the nature of feminism and the current status of women. <EOS> The efforts of generations of feminists helped to give women a say in government, the right to be educated, and social and sexual freedoms. <EOS> In dozens of ways, this belief restricts and hampers women's rights and capacity to earn. <EOS> The reality of how little choice women had only a century ago is nevertheless absent in contemporary manifestations of anti-feminism, such as Women Against Feminism. <EOS>"," The notion that feminism is a form of female supremacy is a misconception that ignores the reality that women have been working diligently to secure fundamental human rights, including the right to vote, own property, and control their own bodies, and the substantial advancements they have made in securing these essential rights through their unwavering commitment to social change.",9.0,english,Feminism is just women dictatorship
EN229,"I don't see a lot of movies about complicated women ... <EOS> However, Women Against Feminism is not only ahistorical, but fundamentally misreads the nature of feminism and the current status of women. <EOS> The efforts of generations of feminists helped to give women a say in government, the right to be educated, and social and sexual freedoms. <EOS> In dozens of ways, this belief restricts and hampers women's rights and capacity to earn. <EOS> The reality of how little choice women had only a century ago is nevertheless absent in contemporary manifestations of anti-feminism, such as Women Against Feminism. <EOS>"," The claim that feminism is a form of female dictatorship is misguided, as it fails to acknowledge the substantial strides women have made in securing fundamental rights, such as the right to vote, own property, and control their own bodies, through their persistent advocacy and activism.",9.0,english,Feminism is just women dictatorship
EN229,"I don't see a lot of movies about complicated women ... <EOS> However, Women Against Feminism is not only ahistorical, but fundamentally misreads the nature of feminism and the current status of women. <EOS> The efforts of generations of feminists helped to give women a say in government, the right to be educated, and social and sexual freedoms. <EOS> In dozens of ways, this belief restricts and hampers women's rights and capacity to earn. <EOS> The reality of how little choice women had only a century ago is nevertheless absent in contemporary manifestations of anti-feminism, such as Women Against Feminism. <EOS>"," The assertion that feminism is simply a manifestation of female domination misinterprets the core goals of the movement. In truth, feminism seeks to secure fundamental human rights for women, such as the right to vote, own property, and make decisions about their own bodies. This misconception overlooks the significant progress that women have made in securing these essential freedoms through their advocacy efforts. Contrary to the notion of dictatorship, feminism is about fostering a society where all genders have equal opportunities and rights.",9.0,english,Feminism is just women dictatorship
